iter	RMSE
197	4.757428165
198	4.756141459
199	4.751760366
200	4.748984778
201	4.744040439
202	4.739508089
203	4.73766448
204	4.734238763
205	4.731196691
206	4.726074992
207	4.725230238
208	4.722763681
209	4.720278826
210	4.71609204
211	4.710567345
212	4.708334855
213	4.704279709
214	4.699947543
215	4.696005235
216	4.695137982
217	4.693145724
218	4.691034731
219	4.687651226
220	4.686610862
221	4.682254599
222	4.681238619
223	4.680240602
224	4.676184638
225	4.674645532
226	4.669505274
227	4.668821148
228	4.663009816
229	4.658878404
230	4.657355911
231	4.652790744
232	4.646806416
233	4.642679709
234	4.641097937
235	4.639669821
236	4.635515501
237	4.63489679
238	4.632977731
239	4.632330922
240	4.629141293
241	4.627680883
242	4.627128067
243	4.624129935
244	4.623427384
245	4.622069574
246	4.617651238
247	4.61190691
248	4.609615462
249	4.608847234
250	4.60817421
251	4.607465544
252	4.604989
253	4.600176692
254	4.597572138
255	4.596961643
256	4.59431142
257	4.590647868
258	4.586110349
259	4.584619287
260	4.582299318
261	4.577297851
262	4.575276338
263	4.569826504
264	4.563950998
265	4.556981904
266	4.554892823
267	4.551060244
268	4.545988473
269	4.541867228
270	4.540086495
271	4.536593941
272	4.536068386
273	4.531088223
274	4.525444298
275	4.522852502
276	4.519045626
277	4.518472887
278	4.516017682
279	4.514615105
280	4.511259161
281	4.506117351
282	4.501170153
283	4.499918232
284	4.497669457
285	4.497132252
286	4.496621557
287	4.494498512
288	4.491979486
289	4.489507253
290	4.48845991
291	4.484848266
292	4.480361372
293	4.475365815
294	4.472265772
295	4.466706783
296	4.462865315
297	4.459530977
298	4.456059234
299	4.453618981
300	4.450102164
301	4.445656196
302	4.441200447
303	4.436525393
304	4.431893311
305	4.427429147
306	4.422301255
307	4.421253217
308	4.416302543
309	4.41168265
310	4.40904446
311	4.40603025
312	4.401284064
313	4.398448206
314	4.394430359
315	4.393958247
316	4.388731693
317	4.386451787
318	4.382975339
319	4.380611621
320	4.374623997
321	4.369587075
322	4.367150326
323	4.365122304
324	4.363242125
325	4.358337396
326	4.355564008
327	4.352973574
328	4.347667196
329	4.341510858
330	4.339193069
331	4.336981133
332	4.33656796
333	4.333142379
334	4.330132194
335	4.328743602
336	4.325860715
337	4.322151081
338	4.317727183
339	4.315930532
340	4.313190393
341	4.311561035
342	4.310612145
343	4.310179126
344	4.305236393
345	4.300251741
346	4.297044973
347	4.292450459
348	4.290983622
349	4.290579046
350	4.28606918
351	4.284978805
352	4.283405276
353	4.277952661
354	4.273310546
355	4.269301778
356	4.262423245
357	4.258366867
358	4.254027288
359	4.253612322
360	4.249449395
361	4.245722307
362	4.243681315
363	4.242444766
364	4.238887512
365	4.237145186
366	4.233759912
367	4.230399349
368	4.226786699
369	4.223321077
370	4.218923117
371	4.21518545
372	4.21218013
373	4.208101776
374	4.205616247
375	4.205231769
376	4.202082125
377	4.198095114
378	4.197730389
379	4.19481193
380	4.194463084
381	4.193217079
382	4.191196464
383	4.186751789
384	4.186406581
385	4.18291977
386	4.182636268
387	4.18121665
388	4.178402776
389	4.178070069
390	4.173499245
391	4.170263532
392	4.164388672
393	4.160731063
394	4.15750777
395	4.154798626
396	4.15261658
397	4.148915232
398	4.145118457
399	4.141760902
400	4.138971506
401	4.137748567
402	4.135057949
403	4.133465011
404	4.13047634
405	4.130163573
406	4.126734645
407	4.12214198
408	4.120435918
409	4.117167506
410	4.112103254
411	4.111841503
412	4.109653327
413	4.108144699
414	4.104779171
415	4.101194589
416	4.099137744
417	4.096307409
418	4.093919788
419	4.093238856
420	4.090577246
421	4.090285739
422	4.089715225
423	4.087146725
424	4.085340483
425	4.081710944
426	4.078792964
427	4.074075455
428	4.07367884
429	4.070608043
430	4.068698484
431	4.064913776
432	4.06125989
433	4.059694426
434	4.057685429
435	4.054544621
436	4.052444305
437	4.047964151
438	4.047731637
439	4.045062912
440	4.044316082
441	4.039419288
442	4.035975805
443	4.034636934
444	4.033858064
445	4.033322376
446	4.031606374
447	4.029329623
448	4.024751828
449	4.023954191
450	4.023651228
451	4.020513225
452	4.016953241
453	4.015293753
454	4.012300444
455	4.01157724
456	4.010018237
457	4.003682625
458	4.000593921
459	3.999015118
460	3.997386268
461	3.994038261
462	3.991077039
463	3.987473545
464	3.983926099
465	3.981262973
466	3.97861717
467	3.978384477
468	3.973981823
469	3.969937676
470	3.96970931
471	3.964247736
472	3.961122223
473	3.959363955
474	3.956817888
475	3.955899049
476	3.954440375
477	3.951453956
478	3.949812937
479	3.948748467
480	3.945628004
481	3.944365973
482	3.942152071
483	3.940742018
484	3.937292221
485	3.934898156
486	3.934085513
487	3.931247414
488	3.928330541
489	3.927843922
490	3.926646496
491	3.923681922
492	3.922610329
493	3.921640816
494	3.918974186
495	3.917252505
496	3.916233842
497	3.914820222
498	3.914599986
499	3.910752137
500	3.907005118
501	3.903282058
502	3.903069211
503	3.898894266
504	3.895916992
505	3.893012224
506	3.890891604
507	3.887952748
508	3.885650645
509	3.881571764
510	3.878795657
511	3.875876381
512	3.875580783
513	3.875236684
514	3.873454459
515	3.871590263
516	3.867577268
517	3.864356421
518	3.862393715
519	3.860320827
520	3.857971325
521	3.856961251
522	3.85482608
523	3.853103315
524	3.851261073
525	3.847999886
526	3.846680317
527	3.845372918
528	3.843282483
529	3.837787176
530	3.834443075
531	3.83403434
532	3.832386364
533	3.829292027
534	3.825659702
535	3.82537088
536	3.822672051
537	3.820369573
538	3.819222021
539	3.81799057
540	3.81642194
541	3.81253784
542	3.811984612
543	3.809558329
544	3.80907948
545	3.805630461
546	3.802094293
547	3.798885489
548	3.795202705
549	3.791514185
550	3.788872964
551	3.786649035
552	3.786228131
553	3.785132969
554	3.782212967
555	3.780311638
556	3.776410357
557	3.772783937
558	3.771458877
559	3.7680674
560	3.765173903
561	3.761569841
562	3.758496381
563	3.756653339
564	3.75276317
565	3.752044674
566	3.751061205
567	3.750466661
568	3.748362164
569	3.746369898
570	3.744622945
571	3.742160298
572	3.738439447
573	3.737561121
574	3.734799866
575	3.732374297
576	3.731641034
577	3.728931208
578	3.728128864
579	3.727049717
580	3.725089234
581	3.724655392
582	3.723500357
583	3.720521773
584	3.717856091
585	3.715311761
586	3.710870913
587	3.710291208
588	3.707684812
589	3.70493637
590	3.70474661
591	3.702243118
592	3.698241245
593	3.695777155
594	3.692241899
595	3.691710551
596	3.69032069
597	3.689999152
598	3.68560545
599	3.684382532
600	3.682823361
601	3.680627627
602	3.678637156
603	3.676149858
604	3.672535214
605	3.670801869
606	3.665484532
607	3.662923597
608	3.661290839
609	3.660118898
610	3.659764535
611	3.656702616
612	3.649550383
613	3.645839457
614	3.643897328
615	3.643269211
616	3.640636858
617	3.640412487
618	3.637562856
619	3.635418737
620	3.635037143
621	3.633487129
622	3.631728199
623	3.62928368
624	3.626946715
625	3.624920978
626	3.621580615
627	3.618326698
628	3.616881245
629	3.616241568
630	3.612867215
631	3.611145698
632	3.607874258
633	3.605774185
634	3.602622585
635	3.602182262
636	3.601061904
637	3.600214375
638	3.598244406
639	3.595957856
640	3.592642165
641	3.591549977
642	3.588074964
643	3.585623234
644	3.58340927
645	3.583204739
646	3.582986913
647	3.580016658
648	3.579850308
649	3.579081014
650	3.5768812
651	3.576345726
652	3.576192222
653	3.574853961
654	3.572055264
655	3.568382802
656	3.568146851
657	3.565479326
658	3.562878724
659	3.559952687
660	3.557646911
661	3.555037782
662	3.554027598
663	3.552540811
664	3.550590583
665	3.546310463
666	3.542954629
667	3.540818352
668	3.540622028
669	3.539926515
670	3.537009422
671	3.533979143
672	3.531165155
673	3.529352122
674	3.527357816
675	3.524968225
676	3.522942177
677	3.520960311
678	3.520614681
679	3.51738016
680	3.517237976
681	3.514078152
682	3.51243497
683	3.512175056
684	3.511718475
685	3.509033536
686	3.506866198
687	3.50403158
688	3.501450531
689	3.501195376
690	3.498365628
691	3.496344614
692	3.495619047
693	3.494278506
694	3.492361808
695	3.489700045
696	3.48846021
697	3.4856629
698	3.482202484
699	3.481427547
700	3.479124986
701	3.477498379
702	3.473450207
703	3.471793572
704	3.470563748
705	3.469518183
706	3.467470995
707	3.465365251
708	3.464022342
709	3.463629259
710	3.461960863
711	3.461670144
712	3.459166214
713	3.456759218
714	3.456582442
715	3.455012248
716	3.454130187
717	3.452121754
718	3.451124657
719	3.44879661
720	3.4460377
721	3.444106432
722	3.443639471
723	3.441675862
724	3.439695742
725	3.438407238
726	3.436220319
727	3.433394845
728	3.433084421
729	3.429677958
730	3.427285962
731	3.425640015
732	3.425262822
733	3.423934144
734	3.423673226
735	3.420800166
736	3.417949288
737	3.41762091
738	3.415784535
739	3.41432762
740	3.410407004
741	3.409403704
742	3.406674846
743	3.406547659
744	3.402623596
745	3.401274659
746	3.400792109
747	3.400543628
748	3.400386222
749	3.397534288
750	3.395670164
751	3.39373505
752	3.392822426
753	3.392591147
754	3.38979446
755	3.387747959
756	3.387037464
757	3.385252955
758	3.383612354
759	3.3827445
760	3.380464582
761	3.379100493
762	3.378909717
763	3.376184873
764	3.375082176
765	3.37446943
766	3.374362114
767	3.371202636
768	3.369058968
769	3.367126051
770	3.364868131
771	3.363493725
772	3.362641351
773	3.361702252
774	3.36094538
775	3.359079635
776	3.356782565
777	3.354481533
778	3.353371356
779	3.347333958
780	3.343647308
781	3.343540359
782	3.342676623
783	3.340725701
784	3.340609205
785	3.339186385
786	3.334782096
787	3.333328719
788	3.332416634
789	3.33087196
790	3.330742972
791	3.328407479
792	3.326872398
793	3.326168988
794	3.325098689
795	3.322909199
796	3.322624363
797	3.321275331
798	3.320593424
799	3.317490214
800	3.315431411
801	3.31451258
802	3.313392397
803	3.311647197
804	3.309346986
805	3.306860678
806	3.304862158
807	3.3035535
808	3.30159443
809	3.299354947
810	3.296040594
811	3.293848181
812	3.293532931
813	3.292611066
814	3.289909418
815	3.288101529
816	3.28538843
817	3.285219241
818	3.28378799
819	3.283679838
820	3.282517796
821	3.281973899
822	3.280558324
823	3.279008134
824	3.277588267
825	3.27580171
826	3.273300212
827	3.273045384
828	3.271585117
829	3.27047476
830	3.268900005
831	3.26829698
832	3.267267839
833	3.264966774
834	3.264012558
835	3.261107905
836	3.260552943
837	3.258850521
838	3.256927899
839	3.256842044
840	3.253700276
841	3.253275684
842	3.25169928
843	3.250139641
844	3.248143778
845	3.246547221
846	3.24479049
847	3.242337974
848	3.240074535
849	3.239157471
850	3.236366177
851	3.233375296
852	3.232645684
853	3.227398845
854	3.226180602
855	3.22608066
856	3.225103645
857	3.224955546
858	3.223435846
859	3.221485522
860	3.219851479
861	3.216529561
862	3.214587064
863	3.212938916
864	3.211690058
865	3.208860757
866	3.208661458
867	3.206437785
868	3.204524733
869	3.20261416
870	3.199256964
871	3.199140786
872	3.194115021
873	3.193222301
874	3.193137067
875	3.189979309
876	3.186704364
877	3.18503115
878	3.182467677
879	3.179858734
880	3.177513275
881	3.175953889
882	3.173240371
883	3.173158493
884	3.172650085
885	3.171971135
886	3.171267791
887	3.169844004
888	3.168909242
889	3.167599737
890	3.166023041
891	3.164220534
892	3.163421203
893	3.162780199
894	3.160780289
895	3.159662814
896	3.158524534
897	3.158056013
898	3.157949143
899	3.156460794
900	3.155089218
901	3.155038295
902	3.152964247
903	3.152862429
904	3.150659034
905	3.148029802
906	3.146504671
907	3.14497064
908	3.144745966
909	3.144665463
910	3.143713889
911	3.143583204
912	3.142607102
913	3.141727014
914	3.138414329
915	3.13562981
916	3.134583573
917	3.133554327
918	3.130347657
919	3.129922178
920	3.129167839
921	3.128896664
922	3.128845208
923	3.127798831
924	3.127726842
925	3.126391081
926	3.12407056
927	3.122748106
928	3.122589018
929	3.121595763
930	3.118836884
931	3.118765153
932	3.118576265
933	3.118540106
934	3.115820186
935	3.113154725
936	3.110332068
937	3.110047475
938	3.109767453
939	3.108098573
940	3.105181559
941	3.101974548
942	3.101193005
943	3.100470552
944	3.099115029
945	3.096627473
946	3.094096436
947	3.093523915
948	3.092748412
949	3.09265942
950	3.092477815
951	3.089415465
952	3.088309637
953	3.086878453
954	3.085697615
955	3.083693957
956	3.080974165
957	3.080658856
958	3.079395525
959	3.079318911
960	3.077944486
961	3.077349516
962	3.075243817
963	3.073010294
964	3.072943049
965	3.071397775
966	3.071333956
967	3.068541947
968	3.068510255
969	3.06837989
970	3.0673332
971	3.063462158
972	3.060700922
973	3.059122648
974	3.058052697
975	3.056703504
976	3.056147971
977	3.054843963
978	3.053731865
979	3.053668839
980	3.052703626
981	3.051195478
982	3.049495977
983	3.047785423
984	3.047573605
985	3.046981416
986	3.044206022
987	3.043663604
988	3.042192125
989	3.041428757
990	3.040545624
991	3.037977597
992	3.037618267
993	3.036569417
994	3.034681307
995	3.033375117
996	3.03320547
997	3.030978118
998	3.030581506
999	3.028053654
